neighbourhood,arts/culture,cars,education/childcare,food/drink,healthcare,money
Arbutus Ridge,1,3,0,19,3,1
Downtown,25,56,20,643,34,50
Dunbar-Southlands,6,1,1,20,4,5
Fairview,16,16,4,159,15,21
Grandview-Woodland,12,7,0,135,7,4
Hastings-Sunrise,6,6,2,47,13,7
Kensington-Cedar Cottage,12,9,2,113,19,12
Kerrisdale,4,0,0,19,3,3
Killarney,1,1,0,30,3,7
Kitsilano,10,6,1,186,20,11
Marpole,5,4,1,49,3,13
Mount Pleasant,6,25,1,165,14,8
Oakridge,3,1,0,12,4,5
Renfrew-Collingwood,4,4,5,71,5,7
Riley Park,10,0,2,90,8,7
Shaughnessy,1,1,1,6,1,1
South Cambie,4,1,2,23,4,4
Strathcona,10,2,2,60,1,3
Sunset,3,3,0,48,9,10
Victoria-Fraserview,2,4,0,28,5,3
West End,7,27,2,226,7,12
West Point Grey,5,1,0,37,3,4
