neighbourhood,skytrain,price,arts/culture,cars,education/childcare,food/drink,healthcare,money,safety,yelp
Arbutus Ridge,2,3,3,3,3,1,3,3,4.76,3.75
Downtown,5,2,4,5,5,5,5,5,3.31,4.02
Dunbar-Southlands,1,3,3,2,3,1,3,3,4.87,3.69
Fairview,4,3,4,4,3,5,3,4,4.91,3.83
Grandview-Woodland,3,4,3,3,3,5,3,3,4.11,3.81
Hastings-Sunrise,3,5,3,3,3,1,3,3,4.69,3.79
Kensington-Cedar Cottage,3,3,3,3,3,1,3,3,4.81,3.9
Kerrisdale,2,2,3,3,3,1,3,3,4.5,3.39
Killarney,3,5,2,2,3,1,3,3,5.0,3.4
Kitsilano,2,2,3,3,3,5,4,3,4.83,3.77
Marpole,4,3,3,3,3,1,3,3,4.62,3.27
Mount Pleasant,4,2,3,5,3,4,3,3,4.61,3.92
Oakridge,5,3,3,3,3,1,3,3,4.24,3.6
Renfrew-Collingwood,5,5,2,1,3,1,2,2,4.83,3.69
Riley Park,3,3,3,2,3,3,3,3,4.54,3.83
Shaughnessy,3,1,3,3,3,1,3,3,3.53,3.67
South Cambie,4,1,3,3,3,3,3,3,4.43,3.77
Strathcona,4,4,5,3,3,4,3,3,0.0,3.86
Sunset,3,5,3,2,3,1,3,3,4.92,3.51
Victoria-Fraserview,2,5,3,3,3,1,3,2,5.0,3.6
West End,3,3,3,5,3,5,3,3,4.39,4.02
West Point Grey,1,1,3,3,3,3,3,3,4.64,3.6
