neighbourhood,lat,lon
Arbutus Ridge,49.253611,-123.1604311
Downtown,49.281954,-123.1170744
Dunbar-Southlands,49.249951,-123.185194
Fairview,49.2634966,-123.1313336
Grandview-Woodland,49.2766649,-123.0695072
Hastings-Sunrise,49.281126,-123.044077
Kensington-Cedar Cottage,49.2500901,-123.0760821
Kerrisdale,49.2341326,-123.155351
Killarney,49.2201912,-123.0412638
Kitsilano,49.2683705,-123.1683297
Marpole,49.2107195,-123.130202
Mount Pleasant,49.262848,-123.0994756
Oakridge,49.2260954,-123.1165881
Renfrew-Collingwood,49.2445254,-123.042244
Riley Park,49.240486,-123.101472
Shaughnessy,49.24533659999999,-123.1413235
South Cambie,49.2451598,-123.1207856
Strathcona,49.2765347,-123.0873698
Sunset,49.218253,-123.0909697
Victoria-Fraserview,49.2202898,-123.065868
West End,49.2900541,-123.1376043
West Point Grey,49.260966,-123.200093
